row_type,system_organ_class,preferred_term,subjects_n_percent,n_events
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,THROMBOSIS IN DEVICE,1 (0.2%),4
SOC,GASTROINTESTINAL DISORDERS,NA,220 (48.6%),1013
Preferred Term,GASTROINTESTINAL DISORDERS,DIARRHOEA,105 (23.2%),227
Preferred Term,GASTROINTESTINAL DISORDERS,NAUSEA,89 (19.6%),209
Preferred Term,GASTROINTESTINAL DISORDERS,STOMATITIS,67 (14.8%),134
Preferred Term,GASTROINTESTINAL DISORDERS,VOMITING,55 (12.1%),85
Preferred Term,GASTROINTESTINAL DISORDERS,CONSTIPATION,54 (11.9%),113
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN,26 (5.7%),54
Preferred Term,GASTROINTESTINAL DISORDERS,DRY MOUTH,11 (2.4%),37
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN UPPER,7 (1.5%),12
Preferred Term,GASTROINTESTINAL DISORDERS,DYSPEPSIA,7 (1.5%),13
Preferred Term,GASTROINTESTINAL DISORDERS,DYSPHAGIA,6 (1.3%),9
Preferred Term,GASTROINTESTINAL DISORDERS,ODYNOPHAGIA,4 (0.9%),6
Preferred Term,GASTROINTESTINAL DISORDERS,OESOPHAGITIS,4 (0.9%),11
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL DISCOMFORT,3 (0.7%),5
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL DISTENSION,3 (0.7%),14
Preferred Term,GASTROINTESTINAL DISORDERS,CHEILITIS,3 (0.7%),5
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN LOWER,2 (0.4%),6
Preferred Term,GASTROINTESTINAL DISORDERS,ASCITES,2 (0.4%),4
Preferred Term,GASTROINTESTINAL DISORDERS,FLATULENCE,2 (0.4%),3
Preferred Term,GASTROINTESTINAL DISORDERS,GASTRITIS,2 (0.4%),2
Preferred Term,GASTROINTESTINAL DISORDERS,GASTROOESOPHAGEAL REFLUX DISEASE,2 (0.4%),10
Preferred Term,GASTROINTESTINAL DISORDERS,ORAL PAIN,2 (0.4%),4
Preferred Term,GASTROINTESTINAL DISORDERS,PERIODONTITIS,2 (0.4%),9
Preferred Term,GASTROINTESTINAL DISORDERS,RECTAL HAEMORRHAGE,2 (0.4%),2
Preferred Term,GASTROINTESTINAL DISORDERS,TOOTHACHE,2 (0.4%),8
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL HERNIA,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL TENDERNESS,1 (0.2%),3
Preferred Term,GASTROINTESTINAL DISORDERS,APHTHOUS STOMATITIS,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,CHAPPED LIPS,1 (0.2%),2
Preferred Term,GASTROINTESTINAL DISORDERS,DUODENAL ULCER HAEMORRHAGE,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,FAECAL INCONTINENCE,1 (0.2%),2
Preferred Term,GASTROINTESTINAL DISORDERS,GASTROINTESTINAL HYPOMOTILITY,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,GINGIVAL BLEEDING,1 (0.2%),3
Preferred Term,GASTROINTESTINAL DISORDERS,HAEMORRHOIDAL HAEMORRHAGE,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,HAEMORRHOIDS,1 (0.2%),2
Preferred Term,GASTROINTESTINAL DISORDERS,IMPAIRED GASTRIC EMPTYING,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,LARGE INTESTINE PERFORATION,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,LIP DRY,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,MELAENA,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,OESOPHAGITIS ULCERATIVE,1 (0.2%),1
Preferred Term,GASTROINTESTINAL DISORDERS,PANCREATIC CYST,1 (0.2%),9
SOC,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",NA,209 (46.1%),1023
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",DYSPNOEA,89 (19.6%),286
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",COUGH,84 (18.5%),330
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",HAEMOPTYSIS,25 (5.5%),39
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",EPISTAXIS,24 (5.3%),61
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",DYSPHONIA,16 (3.5%),68
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",OROPHARYNGEAL PAIN,11 (2.4%),21
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PRODUCTIVE COUGH,10 (2.2%),33
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",CHRONIC OBSTRUCTIVE PULMONARY DISEASE,9 (2.0%),18
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",DYSPNOEA EXERTIONAL,9 (2.0%),26
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PLEURAL EFFUSION,8 (1.8%),15
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PULMONARY EMBOLISM,8 (1.8%),21
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",HICCUPS,4 (0.9%),10
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PNEUMOTHORAX,4 (0.9%),13
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",RHINORRHOEA,4 (0.9%),23
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PNEUMONITIS,3 (0.7%),3
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",WHEEZING,3 (0.7%),7
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",ACUTE RESPIRATORY FAILURE,2 (0.4%),2
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",BRONCHOSPASM,2 (0.4%),5
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",NASAL CONGESTION,2 (0.4%),2
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",BRONCHOSTENOSIS,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",DIAPHRAGMALGIA,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",HAEMOTHORAX,1 (0.2%),2
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",HYPOXIA,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",LUNG INFILTRATION,1 (0.2%),4
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",NASAL DISCOMFORT,1 (0.2%),4
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",OBSTRUCTIVE AIRWAYS DISORDER,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PHARYNGEAL INFLAMMATION,1 (0.2%),6
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PLEURITIC PAIN,1 (0.2%),2
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PULMONARY FIBROSIS,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PULMONARY OEDEMA,1 (0.2%),7
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",RESPIRATORY FAILURE,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",SINUS CONGESTION,1 (0.2%),4
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",STRIDOR,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",TACHYPNOEA,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",UPPER RESPIRATORY TRACT INFLAMMATION,1 (0.2%),1
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",UPPER-AIRWAY COUGH SYNDROME,1 (0.2%),2
SOC,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,NA,196 (43.3%),1787
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ALOPECIA,141 (31.1%),1075
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,NAIL DISORDER,32 (7.1%),233
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,RASH,25 (5.5%),88
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,PRURITUS,12 (2.6%),40
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,DRY SKIN,9 (2.0%),34
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ONYCHOLYSIS,8 (1.8%),46
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,HYPERHIDROSIS,7 (1.5%),11
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,6 (1.3%),28
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,NAIL TOXICITY,5 (1.1%),42
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,SKIN EXFOLIATION,5 (1.1%),31
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ERYTHEMA,4 (0.9%),5
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,NIGHT SWEATS,4 (0.9%),12
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,DERMATITIS,3 (0.7%),4
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ACNE,2 (0.4%),5
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,DERMATITIS ACNEIFORM,2 (0.4%),9
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ECZEMA,2 (0.4%),3
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,NAIL BED DISORDER,2 (0.4%),8
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,NAIL DYSTROPHY,2 (0.4%),5
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ONYCHOCLASIS,2 (0.4%),34
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,RASH ERYTHEMATOUS,2 (0.4%),5
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,RASH MACULAR,2 (0.4%),9
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,RASH PAPULAR,2 (0.4%),6
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,DECUBITUS ULCER,1 (0.2%),1
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,DERMATITIS CONTACT,1 (0.2%),2
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ECCHYMOSIS,1 (0.2%),3
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ERYTHROSIS,1 (0.2%),1
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,HAIR GROWTH ABNORMAL,1 (0.2%),10
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,INTERTRIGO,1 (0.2%),2
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,MACULE,1 (0.2%),3
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,MADAROSIS,1 (0.2%),2
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,NAIL DISCOLOURATION,1 (0.2%),10
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,PIGMENTATION DISORDER,1 (0.2%),3
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,PRURITUS ALLERGIC,1 (0.2%),1
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,PRURITUS GENERALISED,1 (0.2%),1
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,PSORIASIS,1 (0.2%),2
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,SKIN HYPERPIGMENTATION,1 (0.2%),6
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,SKIN IRRITATION,1 (0.2%),1
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,SUBCUTANEOUS EMPHYSEMA,1 (0.2%),3
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,SWELLING FACE,1 (0.2%),2
Preferred Term,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,URTICARIA,1 (0.2%),1
SOC,NERVOUS SYSTEM DISORDERS,NA,159 (35.1%),1012
Preferred Term,NERVOUS SYSTEM DISORDERS,PERIPHERAL SENSORY NEUROPATHY,65 (14.3%),461
Preferred Term,NERVOUS SYSTEM DISORDERS,HEADACHE,24 (5.3%),50
Preferred Term,NERVOUS SYSTEM DISORDERS,PARAESTHESIA,24 (5.3%),130
Preferred Term,NERVOUS SYSTEM DISORDERS,DYSGEUSIA,15 (3.3%),76
Preferred Term,NERVOUS SYSTEM DISORDERS,DIZZINESS,13 (2.9%),22
Preferred Term,NERVOUS SYSTEM DISORDERS,POLYNEUROPATHY,10 (2.2%),88
Preferred Term,NERVOUS SYSTEM DISORDERS,AGEUSIA,5 (1.1%),18
Preferred Term,NERVOUS SYSTEM DISORDERS,PERIPHERAL SENSORIMOTOR NEUROPATHY,5 (1.1%),39
Preferred Term,NERVOUS SYSTEM DISORDERS,DYSAESTHESIA,4 (0.9%),14
Preferred Term,NERVOUS SYSTEM DISORDERS,LETHARGY,4 (0.9%),19
Preferred Term,NERVOUS SYSTEM DISORDERS,PERIPHERAL MOTOR NEUROPATHY,4 (0.9%),15
Preferred Term,NERVOUS SYSTEM DISORDERS,PRESYNCOPE,3 (0.7%),4
Preferred Term,NERVOUS SYSTEM DISORDERS,ATAXIA,2 (0.4%),3
Preferred Term,NERVOUS SYSTEM DISORDERS,BALANCE DISORDER,2 (0.4%),4
Preferred Term,NERVOUS SYSTEM DISORDERS,HYPOAESTHESIA,2 (0.4%),3
Preferred Term,NERVOUS SYSTEM DISORDERS,NEURALGIA,2 (0.4%),8
Preferred Term,NERVOUS SYSTEM DISORDERS,SCIATICA,2 (0.4%),4
Preferred Term,NERVOUS SYSTEM DISORDERS,SOMNOLENCE,2 (0.4%),4
Preferred Term,NERVOUS SYSTEM DISORDERS,TREMOR,2 (0.4%),23
Preferred Term,NERVOUS SYSTEM DISORDERS,APHONIA,1 (0.2%),1
Preferred Term,NERVOUS SYSTEM DISORDERS,COGNITIVE DISORDER,1 (0.2%),6
Preferred Term,NERVOUS SYSTEM DISORDERS,CONVULSION,1 (0.2%),1
Preferred Term,NERVOUS SYSTEM DISORDERS,DYSARTHRIA,1 (0.2%),3
Preferred Term,NERVOUS SYSTEM DISORDERS,DYSSTASIA,1 (0.2%),2
Preferred Term,NERVOUS SYSTEM DISORDERS,HEMIPLEGIA,1 (0.2%),2
Preferred Term,NERVOUS SYSTEM DISORDERS,HYPOTONIA,1 (0.2%),1
Preferred Term,NERVOUS SYSTEM DISORDERS,INTRACRANIAL PRESSURE INCREASED,1 (0.2%),2
Preferred Term,NERVOUS SYSTEM DISORDERS,ISCHAEMIC STROKE,1 (0.2%),1
Preferred Term,NERVOUS SYSTEM DISORDERS,NEUROTOXICITY,1 (0.2%),1
Preferred Term,NERVOUS SYSTEM DISORDERS,RADIAL NERVE PALSY,1 (0.2%),3
Preferred Term,NERVOUS SYSTEM DISORDERS,SPINAL CORD COMPRESSION,1 (0.2%),2
Preferred Term,NERVOUS SYSTEM DISORDERS,SYNCOPE,1 (0.2%),1
Preferred Term,NERVOUS SYSTEM DISORDERS,TRANSIENT ISCHAEMIC ATTACK,1 (0.2%),1
SOC,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,NA,154 (34.0%),646
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,ARTHRALGIA,36 (7.9%),109
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MYALGIA,31 (6.8%),94
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,BACK PAIN,28 (6.2%),76
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MUSCULOSKELETAL PAIN,24 (5.3%),50
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,PAIN IN EXTREMITY,23 (5.1%),77
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,BONE PAIN,19 (4.2%),71
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MUSCULOSKELETAL CHEST PAIN,13 (2.9%),31
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MUSCLE SPASMS,8 (1.8%),12
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MUSCULAR WEAKNESS,7 (1.5%),28
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,NECK PAIN,5 (1.1%),15
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,ARTHRITIS,4 (0.9%),12
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,CLUBBING,3 (0.7%),29
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,JOINT SWELLING,3 (0.7%),4
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,FLANK PAIN,2 (0.4%),4
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,HYPERCREATINAEMIA,2 (0.4%),2
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MYOSITIS,2 (0.4%),4
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,OSTEOPOROSIS,2 (0.4%),15
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MUSCULOSKELETAL DISCOMFORT,1 (0.2%),2
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MUSCULOSKELETAL STIFFNESS,1 (0.2%),2
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MYOPATHY,1 (0.2%),4
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,OSTEONECROSIS OF JAW,1 (0.2%),2
Preferred Term,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,PAIN IN JAW,1 (0.2%),3
SOC,INFECTIONS AND INFESTATIONS,NA,149 (32.9%),370
Preferred Term,INFECTIONS AND INFESTATIONS,PNEUMONIA,22 (4.9%),29
Preferred Term,INFECTIONS AND INFESTATIONS,URINARY TRACT INFECTION,19 (4.2%),31
Preferred Term,INFECTIONS AND INFESTATIONS,BRONCHITIS,17 (3.8%),29
Preferred Term,INFECTIONS AND INFESTATIONS,RESPIRATORY TRACT INFECTION,14 (3.1%),25
Preferred Term,INFECTIONS AND INFESTATIONS,NEUTROPENIC INFECTION,12 (2.6%),13
Preferred Term,INFECTIONS AND INFESTATIONS,UPPER RESPIRATORY TRACT INFECTION,12 (2.6%),18
Preferred Term,INFECTIONS AND INFESTATIONS,LOWER RESPIRATORY TRACT INFECTION,8 (1.8%),12
Preferred Term,INFECTIONS AND INFESTATIONS,NASOPHARYNGITIS,8 (1.8%),12
Preferred Term,INFECTIONS AND INFESTATIONS,ORAL CANDIDIASIS,8 (1.8%),22
Preferred Term,INFECTIONS AND INFESTATIONS,LUNG INFECTION,7 (1.5%),8
Preferred Term,INFECTIONS AND INFESTATIONS,RHINITIS,6 (1.3%),23
Preferred Term,INFECTIONS AND INFESTATIONS,CYSTITIS,5 (1.1%),10
Preferred Term,INFECTIONS AND INFESTATIONS,INFLUENZA,5 (1.1%),9
Preferred Term,INFECTIONS AND INFESTATIONS,NEUTROPENIC SEPSIS,3 (0.7%),4
Preferred Term,INFECTIONS AND INFESTATIONS,PARONYCHIA,3 (0.7%),8
Preferred Term,INFECTIONS AND INFESTATIONS,PHARYNGITIS,3 (0.7%),3
Preferred Term,INFECTIONS AND INFESTATIONS,GASTROENTERITIS,2 (0.4%),2
Preferred Term,INFECTIONS AND INFESTATIONS,HEPATITIS C,2 (0.4%),6
Preferred Term,INFECTIONS AND INFESTATIONS,HERPES ZOSTER,2 (0.4%),2
Preferred Term,INFECTIONS AND INFESTATIONS,HORDEOLUM,2 (0.4%),3
Preferred Term,INFECTIONS AND INFESTATIONS,LARYNGITIS,2 (0.4%),3
Preferred Term,INFECTIONS AND INFESTATIONS,ONYCHOMYCOSIS,2 (0.4%),8
Preferred Term,INFECTIONS AND INFESTATIONS,SINUSITIS,2 (0.4%),8
Preferred Term,INFECTIONS AND INFESTATIONS,VIRAL INFECTION,2 (0.4%),5
Preferred Term,INFECTIONS AND INFESTATIONS,VULVOVAGINAL CANDIDIASIS,2 (0.4%),2
Preferred Term,INFECTIONS AND INFESTATIONS,ABSCESS,1 (0.2%),5
Preferred Term,INFECTIONS AND INFESTATIONS,BRONCHIECTASIS,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,BRONCHOPNEUMONIA,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,CELLULITIS,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,EAR INFECTION,1 (0.2%),2
Preferred Term,INFECTIONS AND INFESTATIONS,EMPYEMA,1 (0.2%),2
Preferred Term,INFECTIONS AND INFESTATIONS,ESCHERICHIA URINARY TRACT INFECTION,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,FOLLICULITIS,1 (0.2%),2
Preferred Term,INFECTIONS AND INFESTATIONS,FUNGAL INFECTION,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,FUNGAL SKIN INFECTION,1 (0.2%),3
Preferred Term,INFECTIONS AND INFESTATIONS,H1N1 INFLUENZA,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,LOBAR PNEUMONIA,1 (0.2%),2
Preferred Term,INFECTIONS AND INFESTATIONS,LOWER RESPIRATORY TRACT INFECTION BACTERIAL,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,NAIL BED INFECTION,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,NAIL INFECTION,1 (0.2%),20
Preferred Term,INFECTIONS AND INFESTATIONS,ORAL HERPES,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,ORCHITIS,1 (0.2%),2
Preferred Term,INFECTIONS AND INFESTATIONS,OROPHARYNGEAL CANDIDIASIS,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,PILONIDAL CYST,1 (0.2%),3
Preferred Term,INFECTIONS AND INFESTATIONS,PNEUMONIA MORAXELLA,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,PULMONARY TUBERCULOSIS,1 (0.2%),5
Preferred Term,INFECTIONS AND INFESTATIONS,SEPSIS,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,SPUTUM PURULENT,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,STAPHYLOCOCCAL BACTERAEMIA,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,TINEA CAPITIS,1 (0.2%),1
